Cód.,Município,Total,Menos de 1 ano,1 ano,2 anos,3 anos,4 anos,5 anos,6 anos,7 anos,8 anos,9 anos,10 anos,11 anos,12 anos,13 anos,14 anos,15 anos,16 anos,17 anos
1200013,Acrelândia (AC),14021,241,281,239,312,247,255,242,264,256,252,242,258,249,255,248,246,271,273
1200054,Assis Brasil (AC),8100,158,167,175,202,181,176,160,177,166,144,168,195,174,178,168,173,181,153
1200104,Brasiléia (AC),26000,427,414,452,526,474,462,462,451,448,497,458,467,449,410,469,464,434,429
1200138,Bujari (AC),12917,193,192,233,239,243,232,235,257,212,255,248,229,229,267,278,257,246,246
1200179,Capixaba (AC),10392,155,165,186,167,197,165,188,219,174,181,225,176,201,164,214,182,211,220
1200203,Cruzeiro do Sul (AC),91888,1563,1539,1576,1643,1646,1507,1622,1657,1673,1651,1758,1635,1691,1828,1815,1844,1764,1992
1200252,Epitaciolândia (AC),18757,331,277,350,350,320,350,323,349,345,359,310,341,302,313,313,309,333,300
1200302,Feijó (AC),35426,737,741,836,786,743,757,772,745,783,784,828,716,739,777,808,810,832,728
1200328,Jordão (AC),9222,248,295,235,241,264,271,295,227,257,259,276,230,255,237,258,253,237,196
1200336,Mâncio Lima (AC),19294,322,369,391,369,361,337,324,409,424,372,389,418,424,410,437,403,390,429
1200344,Manoel Urbano (AC),11996,232,222,253,236,288,244,250,249,243,290,252,257,236,261,258,264,261,281
1200351,Marechal Thaumaturgo (AC),17093,372,405,391,432,377,336,362,392,445,450,439,412,402,410,467,456,464,471
1200385,Plácido de Castro (AC),16560,277,271,308,279,289,264,310,297,302,326,285,280,285,294,301,316,322,286
1200393,Porto Walter (AC),10735,264,297,228,278,223,252,211,237,227,264,297,260,229,297,283,311,262,271
1200401,Rio Branco (AC),364756,4857,4806,5429,5752,5592,5696,5884,6010,5796,5977,5729,5840,5587,5704,5971,6114,6180,6108
1200427,Rodrigues Alves (AC),14938,291,292,297,314,279,257,274,307,315,291,330,317,320,358,334,375,316,371
1200435,Santa Rosa do Purus (AC),6723,214,193,228,230,183,180,173,209,172,214,187,200,155,206,161,155,151,154
1200450,Senador Guiomard (AC),21454,308,330,348,368,361,347,357,390,371,362,357,355,374,372,385,367,396,364
1200500,Sena Madureira (AC),41343,706,696,717,776,756,720,725,781,774,780,799,791,761,771,754,832,862,875
1200609,Tarauacá (AC),43467,908,955,931,925,994,889,946,989,973,946,1004,965,1062,975,1004,1063,1054,1003
1200708,Xapuri (AC),18243,336,307,309,320,331,319,326,324,331,325,345,314,292,311,353,357,370,358
1200807,Porto Acre (AC),16693,286,271,289,303,292,338,293,289,314,289,300,287,275,304,332,343,331,296
